Player,Bianco Hills,,,,,,,,,,,,,,,,Ricco Harbor,,,,,,,,,,,,,Gelato Beach / Mamma Beach,,,,,,,,,,,,,,Pinna Park,,,,,,,,,,,,,,,Sirena Beach,,,,,,,,,,,,,,,Noki Bay / Mare Bay,,,,,,,,,,,,,Pianta Village / Monte Village,,,,,,,,,,,,,Delfino Plaza,,,,,,,,,,,,,,,,,,,
,Ep. 1,Ep. 2,Ep. 3,,Ep. 4,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Ep. 3 Reds,,Ep. 6 Reds,,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 2,100 Coins,,Ep. 1,,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Hidden 1,Hidden 2,,100 Coins,,Ep. 1,Ep. 2,,Ep. 3,Ep. 4,Ep. 5,Ep. 6,,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,,Ep. 3,Ep. 4,,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,,Ep. 6,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Airstrip,Airstrip Reds,,Beach Shine,Box Game 1,Box Game 2,Box Game 3,Corona Mountain,Chuckster,Gelato Pipe,Gold Bird,Grass Pipe,Jail Secret,Left Bell,Underbell,Light- house,Lilypad,Pachinko,Right Bell,Shine Gate
,,,Full Level,Secret Only,,,Full Level,Secret Only,,,Any Nozzle,Hover Only,Any Nozzle,Hover Only,,,,,,Full Level,Secret Only,,Any Strat,RTA Only,,,,,,Full Level,Secret Only,,,,,,,,,Any Nozzle,Hover Only,,,,Full Level,Secret Only,,,,Full Level,Secret Only,EYG,,,,,,,,Full Level,Secret Only,,Full Level,Secret Only,,US/PAL,JP Only,,,,,,,,,,,,Full Level,Secret Only,,,,,,,,,,,Full Level,Secret Only,,,,,,,,,Any Strat,RTA,,,,,,,,,,,,,,,,,
EquivocalGenius,50.61,1:18.99,36.98,13.67,42.70,2:13.99,1:11.11,38.86,16.05,57.67,39.55,39.55,1:00.78,48.47,2:40.68,,51.82,16.78,14.70,43.92,30.04,56.05,1:37.02,1:33.28,15.16,45.13,59.81,2:13.06,,39.31,18.74,1:48.16,1:15.07,1:02.03,11.11,1:10.48,18.86,27.60,30.03,41.09,41.09,2:45.29,,49.63,41.98,28.57,34.29,52.91,43.71,52.06,27.35,1:22.69,10.82,1:22.67,42.26,1:26.24,1:46.86,,1:37.34,51.88,33.88,22.69,50.68,23.24,2:11.39,x,2:26.25,22.10,4:09.76,1:10.12,43.12,2:46.54,,54.35,27.96,44.01,1:33.39,12.94,54.78,29.85,15.50,1:12.97,34.06,1:07.12,1:38.79,,43.75,12.78,29.28,44.17,49.32,27.19,2:17.13,18.63,1:22.08,1:01.28,34.69,,,,,,21.77,22.36,20.93,,1:15.25,12.16,15.87,32.48,49.14,22.74,28.85,6.36,25.64,,27.94,20.07,24.78
Oatflaker,51.90,1:19.25,39.55,13.97,42.96,2:11.13,1:12.62,39.36,16.00,59.77,40.19,40.19,1:02.15,50.60,,,50.20,16.91,15.50,44.39,30.15,56.55,1:33.71,1:33.71,16.77,44.53,1:01.65,,,39.49,19.13,1:46.16,1:08.08,,,,18.24,27.12,31.85,,40.95,2:32.01,,,42.10,28.82,32.94,52.64,42.46,,27.54,1:18.65,13.24,,42.29,1:26.14,1:24.97,,1:31.17,52.12,34.88,24.03,51.52,23.51,,2:31.00,2:20.41,22.10,4:25.11,1:08.32,42.19,2:23.28,,54.34,28.73,47.67,1:33.13,13.44,54.98,30.68,15.50,,,1:09.89,,,42.94,12.61,29.55,44.38,50.93,27.05,2:17.19,18.51,1:25.56,1:04.51,31.39,1:30.38,,,1:31.71,1:29.68,,22.13,20.09,17.72,1:16.98,11.56,15.63,32.02,52.64,23.00,25.88,6.77,25.61,28.11,26.28,20.11,24.61
nindiddeh,,1:19.18,37.18,13.89,42.76,2:21.79,1:09.91,39.56,16.01,,,,,,,,51.16,16.45,14.93,44.41,30.15,55.66,,1:33.76,15.10,,,,,,,,,,,,19.60,27.35,,,,,,,42.28,28.87,33.22,52.80,,,27.52,1:24.73,12.49,,42.26,,,,1:33.14,50.72,33.81,22.86,48.87,21.14,,,2:26.58,22.42,,1:10.12,,,,54.04,28.22,42.88,1:30.52,,52.11,29.68,15.60,,,,,,44.04,12.74,29.54,44.57,53.17,27.79,2:18.16,18.37,,,,,,,,,,,,,1:16.99,,,,,,,,,,,,
Weegee,51.35,,37.10,13.67,42.43,,1:09.53,38.61,15.97,,,41.89,,,,,,16.35,14.30,45.90,29.98,,,1:33.78,15.00,,,,,39.12,18.64,,,,,,17.90,27.95,29.85,,42.22,,,56.38,42.05,28.61,,53.57,46.33,,26.98,1:29.57,10.70,,42.42,,,,,50.78,32.92,22.40,,21.30,,,,21.95,,,,,,53.84,27.49,,,11.64,52.20,28.37,15.57,,,,,,,12.44,30.05,,,,2:18.73,17.84,,,,1:34.01,,,,,21.32,23.16,21.10,21.10,1:18.83,10.73,15.85,,,22.63,,6.36,25.31,,,19.77,
Jpep,,1:19.58,37.20,13.82,42.49,2:22.36,1:11.09,38.61,16.04,,,,,,,,51.72,16.68,,44.03,30.02,55.40,1:36.45,1:33.61,15.02,,1:01.54,,,,18.84,,,,,,18.10,29.21,30.25,,,,,51.20,42.12,28.60,34.21,54.17,,53.35,27.14,1:20.66,12.59,,42.46,1:25.97,,,1:56.30,51.49,33.98,22.89,51.81,21.26,,2:29.47,x,,,1:11.32,44.06,,,54.43,27.61,42.30,,13.34,51.00,28.45,15.60,,,1:11.12,,,43.11,5:34.93,29.34,44.44,,27.49,2:16.89,18.53,,,,,,,,,,,,,,11.83,,,,,,6.76,,,,,
Jcool114,52.60,1:23.10,39.07,13.96,43.13,2:21.29,1:12.36,40.19,16.13,1:10.99,,34.45,47.50,,2:54.54,,54.27,17.38,15.37,47.48,30.72,57.01,1:37.82,1:33.61,16.66,1:02.19,59.55,2:08.92,,42.21,20.14,2:17.49,1:17.59,51.26,11.78,1:26.26,19.61,29.62,35.62,,39.62,2:56.61,,56.29,43.89,28.91,33.59,53.51,45.67,55.42,27.66,1:25.96,12.74,1:44.90,35.52,1:20.50,1:54.27,,1:32.26,55.83,34.85,27.23,58.00,22.50,2:31.56,2:21.23,2:21.23,11.59*,4:24.00,1:06.68,40.05,2:52.08,,54.21,28.72,45.88,1:37.60,14.01,54.51,29.95,19.27,1:18.78,43.43,1:05.48,1:59.04,,43.36,17.88,30.18,46.70,54.36,30.08,2:16.49,18.78,1:28.18,48.67,41.27,1:48.42,,,1:33.18,1:22.47,23.81,17.47,15.63,10.99,1:21.51,27.51,16.30,36.02,59.29,27.61,36.12,7.49,32.45,47.49,31.04,29.92,27.78
Reed,53.70,1:20.38,37.72,13.96,43.23,2:34.41,,40.03,16.14,,,,,,,,55.85,17.64,14.93,45.25,30.78,55.84,,1:33.71,15.20,50.37,,"2:21.96
",,,20.08,,1:14.22,47.36,,,18.22,26.58,,,,3:56.99,,,,28.74,34.13,53.30,50.85,,27.91,1:22.88,12.77,1:25.44,41.86,1:15.58,1:40.85,,1:37.78,53.14,34.51,26.09,,21.74,,2:30.40,"2:26.12
",25.66,,1:09.19,40.99,2:18.20,,54.81,28.65,,1:32.56,,53.51,30.79,15.60,,,,2:01.18,,,,"29.82
",,,28.15,2:17.06,18.41,1:40.22,,,1:36.82,,,,,,22.66,19.80,,1:20.46,,16.03,,,,32.79,,,33:04,,,25:42
Larvitar,,,37.61,13.97,43.70,,1:12.07,40.29,16.10,,,40.02,49.07,,,,,17.14,16.03,44.93,30.39,,,,15.16,1:04.18,1:00.51,,,44.27,19.40,,,,,,19.60,31.69,30.75,,40.14,,,,44.39,29.05,39.10,54.34,46.73,,28.36,1:34.45,13.04,,42.16,1:26.31,,,1:43.26,52.28,35.11,25.03,53.21,23.58,,2:28.88,2:23.31,26.47,4:17.00,1:07.45,43.19,2:26.79,,57.53,29.79,47.45,,13.58,52.45,29.91,15.98,,31.25,1:08.12,,,46.17,13.64,32.83,,,32.12,2:11.25,18.36,,1:01.71,,1:40.16,,,1:30.01,,,,,,,13.56,16.20,34.69,53.34,23.44,,7.00,,34.85,27.90,,
Fech,,,37.24,13.86,43.04,,,38.95,16.03,,,41.46,,,,,,16.62,,,30.24,,,,15.04,,,,,,,,,,,,18.11,27.22,,,,,,,,,32.56,53.00,,,,1:26.59,12.47,,,,,,,55.42,33.83,,,20.93,,2:32.42,2:28.57,,4:25.27,1:11.86,,,,54.71,27.62,,,,50.96,29.14,15.94,,,,,,45.36,12.88,29.68,44.56,53.46,,2:19.49,17.74,,,,,,,,,,,,,,,,,,,,,,,,,
